sent,filtered,sorted,tags,tag
"[['Hey', 'all', 'I', 'am', 'new', 'in', 'android', 'and', 'I', 'have', 'made', 'a', 'simple', 'BMi', 'calculator', 'in', 'this', 'I', 'have', 'a', 'to', 'select', 'a', 'value', 'and', 'I', 'have', 'to', 'make', 'a', 'calculator', 'which', 'can', 'change', 'the', 'value', 'after', 'making', 'a', 'selection', 'I', 'am', 'not', 'getting', 'any', 'error', 'but', 'I', 'am', 'note', 'able', 'to', 'see', 'an', 'answer'], ['Please', 'check', 'what', 'I', 'have', 'done', 'wrong', 'in', 'this']]","[[('Hey', 'NNP'), ('new', 'JJ'), ('android', 'JJ'), ('simple', 'JJ'), ('BMi', 'NNP'), ('calculator', 'NN'), ('value', 'NN'), ('selection', 'NN'), ('error', 'NN'), ('able', 'JJ'), ('answer', 'NN')], [('wrong', 'JJ')]]","[1, 2]","['Hey', 'new', 'android', 'simple', 'BMi', 'calculator', 'value', 'selection', 'error', 'able', 'answer', 'wrong']","['Hey', 'new', 'android', 'simple', 'BMi', 'calculator', 'value', 'selection', 'error', 'able', 'answer']"
"[[""i'm"", 'writing', 'a', 'flutter', 'application', 'and', 'i', 'want', 'to', 'know', 'if', 'the', 'device', 'is', 'now', 'connecte', 'to', 'a', 'bluetooth', 'device', 'or', 'no', 'and', 'i', 'mean', 'connected', 'not', 'associated', 'Thank', 'You']]","[[(""i'm"", 'NN'), ('flutter', 'NN'), ('application', 'NN'), ('i', 'NN'), ('device', 'NN'), ('connecte', 'JJ'), ('bluetooth', 'JJ'), ('Thank', 'NNP')]]",[1],"[""i'm"", 'flutter', 'application', 'i', 'device', 'connecte', 'bluetooth', 'Thank']","[""i'm"", 'flutter', 'application', 'i', 'device', 'connecte', 'bluetooth', 'Thank']"
"[['I', 'am', 'creating', 'a', 'reactive', 'application', 'with', 'Meteor', 'with', 'MongoDB', 'as', 'a', 'backend'], ['I', 'initially', 'created', 'a', 'non', 'reactive', 'aware', 'collection', 'and', 'denormalizers', 'eg'], ['Now', ""I'd"", 'like', 'to', 'wrap', 'it', 'into', 'which', 'will', 'facilitate', 'listening', 'to', 'the', 'changes', 'to', 'the', 'collection'], ['Then', 'I', 'define', 'a', 'Method'], ['in', 'and', 'call', 'it', 'in', ""'s"", 'constructor'], ['I', 'get', 'printed', 'to', 'console', 'unless', 'I', 'sleep', 'a', 'little', 'before', 'so', 'I', 'suppose', 'when', 'my', 'the', 'document', ""wasn't"", 'yet', 'ready', 'to', 'be', 'searched', 'for'], ['Why', 'does', 'it', 'happen', 'even', 'though', 'I', 'overwrote', 'the', 'non', 'reactive', 'class', 'and', 'only', 'then', 'wrapped', 'it', 'in'], ['How', 'do', 'I', 'typically', 'do', 'denormalization', 'with', 'a', 'reactive', 'collection', 'Should', 'I', 'pass', 'observables', 'to', 'my', 'denormalizers', 'and', 'there', 'create', 'new', 'ones', 'or', 'is', 'it', 'possible', 'to', 'nicely', 'wrap', 'the', 'non', 'reactive', 'code', 'afterwards', 'like', 'I', 'tried', 'and', 'failed', 'above', 'Note', 'that', 'I', ""don't"", 'want', 'to', 'directly', 'pass', 'inside', 'as', 'in', 'more', 'complex', 'scenarios', 'it', 'will', 'cause', 'other', 'inserts', 'updates', 'elsewhere', 'for', 'which', ""I'd"", 'also', 'want', 'to', 'wait'], ['How', 'do', 'people', 'typically', 'test', 'these', 'things', 'If', 'I', 'run', 'a', 'test', 'the', 'code', 'above', 'may', 'succeed', 'locally', 'as', 'db', 'insertion', 'time', 'is', 'small', 'but', 'fail', 'when', 'the', 'delay', 'is', 'higher']]","[[('reactive', 'JJ'), ('application', 'NN'), ('Meteor', 'NNP'), ('MongoDB', 'NNP'), ('backend', 'NN')], [('non', 'JJ'), ('reactive', 'JJ'), ('aware', 'JJ'), ('collection', 'NN'), ('denormalizers', 'NNS')], [(""I'd"", 'NNP'), ('listening', 'NN'), ('changes', 'NNS'), ('collection', 'NN')], [('Method', 'NN')], [('constructor', 'NN')], [('little', 'JJ'), ('document', 'NN'), (""wasn't"", 'NN'), ('ready', 'JJ')], [('non', 'JJ'), ('reactive', 'JJ'), ('class', 'NN')], [('denormalization', 'NN'), ('reactive', 'JJ'), ('collection', 'NN'), ('observables', 'NNS'), ('denormalizers', 'NNS'), ('new', 'JJ'), ('ones', 'NNS'), ('possible', 'JJ'), ('non', 'JJ'), ('code', 'NN'), ('afterwards', 'NNS'), ('Note', 'NNP'), ('complex', 'JJ'), ('scenarios', 'NNS'), ('other', 'JJ'), ('inserts', 'NNS'), ('updates', 'NNS'), (""I'd"", 'NNP')], [('do', 'JJ'), ('people', 'NNS'), ('things', 'NNS'), ('test', 'NN'), ('code', 'NN'), ('db', 'JJ'), ('insertion', 'NN'), ('time', 'NN'), ('small', 'JJ'), ('fail', 'JJ'), ('delay', 'NN'), ('higher', 'JJR')]]","[8, 9, 1, 2, 3]","['denormalization', 'reactive', 'collection', 'observables', 'denormalizers', 'new', 'ones', 'possible', 'non', 'code', 'afterwards', 'Note', 'complex', 'scenarios', 'other', 'inserts', 'updates', ""I'd"", 'do', 'people', 'things', 'test', 'code', 'db', 'insertion', 'time', 'small', 'fail', 'delay', 'higher', 'reactive', 'application', 'Meteor', 'MongoDB', 'backend', 'non', 'reactive', 'aware', 'collection', 'denormalizers', ""I'd"", 'listening', 'changes', 'collection']","['denormalization', 'reactive', 'collection', 'observables', 'denormalizers', 'new', 'ones', 'possible', 'non', 'code', 'afterwards', 'Note', 'complex', 'scenarios', 'other', 'inserts', 'updates', ""I'd""]"
"[['How', 'to', 'delete', 'duplicate', 'data', 'on', 'table', 'which', 'have', 'kind', 'data', 'like', 'these'], ['enter', 'image', 'description', 'here'], ['but', 'i', 'want', 'to', 'keep', 'it', 'with', 'the', 'latest', 'updated', 'at', 'each', 'attribute', 'id', 'Like', 'this']]","[[('duplicate', 'NN'), ('data', 'NNS'), ('table', 'NN'), ('kind', 'NN')], [('enter', 'NN'), ('image', 'NN'), ('description', 'NN')], [('i', 'NN'), ('latest', 'JJS'), ('attribute', 'NN'), ('id', 'NN')]]","[1, 3, 2]","['duplicate', 'data', 'table', 'kind', 'i', 'latest', 'attribute', 'id', 'enter', 'image', 'description']","['duplicate', 'data', 'table', 'kind']"
"[['I', 'am', 'trying', 'to', 'move', 'the', 'AR', 'assets', 'reality', 'files', 'in', 'my', 'app', 'to', 'being', 'On', 'Demand', 'I', 'created', 'a', 'resource', 'tag', 'and', 'have', 'created', 'a', 'manager', 'to', 'download', 'them', 'on', 'demand', 'It', 'seems', 'like', 'it', 'is', 'downloading', 'the', 'assets', 'fine', 'since', 'I', 'can', 'see', 'it', 'in', 'the', 'XCode', 'I', 'use', 'a'], ['QLPreviewController'], ['to', 'view', 'this', 'asset', 'in', 'AR', 'However', 'when', 'I', 'click', 'to', 'view', 'the', 'asset', 'the', 'PreviewController', 'opens', 'fine', 'Camera', 'view', 'but', 'I', 'dont', 'see', 'the', 'asset', 'but', 'get', 'a', 'spinner', 'along', 'with', 'this', 'error'], ['Any', 'clue', 'on', 'what', 'I', 'am', 'doing', 'wrong', 'here', 'This', 'is', 'how', 'I', 'am', 'accessing', 'this', 'resource']]","[[('AR', 'NNP'), ('assets', 'NNS'), ('reality', 'NN'), ('files', 'NNS'), ('app', 'NN'), ('Demand', 'NNP'), ('resource', 'NN'), ('tag', 'NN'), ('manager', 'NN'), ('demand', 'NN'), ('XCode', 'NN')], [('QLPreviewController', 'NN')], [('asset', 'NN'), ('AR', 'NNP'), ('PreviewController', 'NNP'), ('fine', 'JJ'), ('Camera', 'NNP'), ('view', 'NN'), ('spinner', 'NN'), ('error', 'NN')], [('clue', 'NN'), ('wrong', 'NN'), ('resource', 'NN')]]","[1, 3, 4, 2]","['AR', 'assets', 'reality', 'files', 'app', 'Demand', 'resource', 'tag', 'manager', 'demand', 'XCode', 'asset', 'AR', 'PreviewController', 'fine', 'Camera', 'view', 'spinner', 'error', 'clue', 'wrong', 'resource', 'QLPreviewController']","['AR', 'assets', 'reality', 'files', 'app', 'Demand', 'resource', 'tag', 'manager', 'demand', 'XCode']"
"[['I', 'was', 'struggling', 'with', 'the', 'following', 'exception', 'and', 'have', 'found', 'a', 'solution', 'but', 'I', ""don't"", 'really', 'understand', 'why', 'the', 'solution', 'works', 'Anyway', 'I', 'am', 'posting', 'my', 'code', 'and', 'the', 'solution', 'in', 'case', 'it', 'helps', 'anyone', 'else', 'If', 'anyone', 'understands', 'exactly', 'why', 'this', 'fixes', 'the', 'issue', 'please', 'share', 'your', 'thoughts', 'Thanks', 'Mike'], ['Here', 'is', 'the', 'exception'], ['cx', 'Freeze', 'Python', 'error', 'in', 'main', 'script', 'Traceback', 'most', 'recent', 'call', 'last', 'File', 'C', 'apps', 'Anaconda', 'lib', 'site', 'packages', 'cx', 'Freeze', 'initscripts', 'startup', 'py', 'line', 'in', 'run', 'module', 'run', 'File', 'C', 'apps', 'Anaconda', 'lib', 'site', 'packages', 'cx', 'Freeze', 'initscripts', 'Console', 'py', 'line', 'in', 'run', 'exec', 'code', ""'"", 'name', ""'"", ""'"", 'main', ""'"", 'File', 'C', 'fccc', 'svn', 'shared', 'py', 'idw', 'jobs', 'ui', 'py', 'line', 'in', 'import', 'sqla', 'declaratives', 'idw', 'bods', 'jobs', 'dag', 'ctrl', 'as', 'dc', 'File', 'C', 'fccc', 'svn', 'shared', 'py', 'sqla', 'declaratives', 'idw', 'bods', 'jobs', 'dag', 'ctrl', 'py', 'line', 'in', 'from', 'sqla', 'utils', 'sqla', 'base', 'import', 'IdwBodsJobsBase', 'File', 'C', 'fccc', 'svn', 'shared', 'py', 'sqla', 'utils', 'sqla', 'base', 'py', 'line', 'in', 'class', 'ClarityDboBase', 'File', 'C', 'fccc', 'svn', 'shared', 'py', 'sqla', 'utils', 'sqla', 'base', 'py', 'line', 'in', 'ClarityDboBase', 'engine', 'sqla', 'create', 'engine', 'mssql', 'pyodbc', 'odbc', 'connect', 's', 'params', 'fast', 'executemany', 'True', 'echo', 'True', 'uncomment', 'to', 'see', 'all', 'SQL', 'File', 'C', 'apps', 'Anaconda', 'lib', 'site', 'packages', 'sqlalchemy', 'engine', 'init', 'py', 'line', 'in', 'create', 'engine', 'return', 'strategy', 'create', 'args', 'kwargs', 'File', 'C', 'apps', 'Anaconda', 'lib', 'site', 'packages', 'sqlalchemy', 'engine', 'strategies', 'py', 'line', 'in', 'create', 'dbapi', 'dialect', 'cls', 'dbapi', 'dbapi', 'args', 'File', 'C', 'apps', 'Anaconda', 'lib', 'site', 'packages', 'sqlalchemy', 'connectors', 'pyodbc', 'py', 'line', 'in', 'dbapi', 'return', 'import', 'pyodbc', 'ModuleNotFoundError', 'No', 'module', 'named', ""'pyodbc'""], ['Here', 'is', 'the', 'original', 'Python', 'cx', 'freeze', 'script', 'which', 'did', 'not', 'work'], ['from', 'cx', 'Freeze', 'import', 'setup', 'Executable', 'import', 'os', 'import', 'sys', 'print', 'sys', 'path', 'print', 'os', 'environ', ""'IDW"", ""HOME'"", 'idw', 'ui', 'build', 'path', 'sys', 'path', 'buildOptions', 'dict', 'excludes', ""'scipy'"", ""'PyQt"", ""'"", ""'matplotlib'"", ""'numpy'"", ""'notebook'"", ""'jedi'"", 'namespace', 'packages', ""'sqla"", ""utils'"", ""'sqla"", ""declaratives'"", 'import', 'sys', 'base', ""'Win"", ""GUI'"", 'if', 'sys', 'platform', ""'win"", ""'"", 'else', 'None', 'executables', 'Executable', ""'C"", 'fccc', 'svn', 'shared', 'py', 'idw', 'jobs', 'ui', ""py'"", 'base', 'base', 'targetName', ""'idw"", 'pltfrm', 'edtr', ""exe'"", 'setup', 'name', ""'idw"", 'pltfrm', ""edtr'"", 'version', ""'"", ""'"", 'description', ""'IDW"", 'Platform', ""Editor'"", 'options', 'dict', 'build', 'exe', 'buildOptions', 'executables', 'executables']]","[[('following', 'JJ'), ('exception', 'NN'), ('solution', 'NN'), ('understand', 'JJ'), ('Anyway', 'NNP'), ('code', 'NN'), ('case', 'NN'), ('anyone', 'NN'), ('issue', 'NN'), ('please', 'NN'), ('share', 'NN'), ('thoughts', 'NNS'), ('Thanks', 'NNS'), ('Mike', 'NNP')], [('exception', 'NN')], [('cx', 'NN'), ('Freeze', 'NNP'), ('Python', 'NNP'), ('error', 'NN'), ('main', 'JJ'), ('script', 'NN'), ('Traceback', 'NNP'), ('recent', 'JJ'), ('call', 'NN'), ('last', 'JJ'), ('File', 'NNP'), ('C', 'NNP'), ('apps', 'NN'), ('Anaconda', 'NNP'), ('site', 'NN'), ('packages', 'NNS'), ('initscripts', 'NNS'), ('py', 'JJ'), ('line', 'NN'), ('run', 'NN'), ('module', 'NN'), ('Console', 'NNP'), ('py', 'NN'), ('code', 'NN'), ('name', 'NN'), ('fccc', 'NN'), ('svn', 'NN'), ('idw', 'NN'), ('jobs', 'NNS'), ('ui', 'JJ'), ('import', 'NN'), ('sqla', 'NN'), ('idw', 'JJ'), ('bods', 'NNS'), ('dc', 'NN'), ('declaratives', 'NNS'), ('ctrl', 'NN'), ('utils', 'NNS'), ('sqla', 'JJ'), ('base', 'NN'), ('IdwBodsJobsBase', 'NNP'), ('class', 'NN'), ('ClarityDboBase', 'NNP'), ('engine', 'NN'), ('mssql', 'NN'), ('pyodbc', 'NN'), ('odbc', 'NN'), ('connect', 'NN'), ('s', 'JJ'), ('params', 'NNS'), ('executemany', 'JJ'), ('True', 'NNP'), ('echo', 'NN'), ('uncomment', 'NN'), ('SQL', 'NNP'), ('init', 'NN'), ('create', 'NN'), ('strategy', 'NN'), ('args', 'JJ'), ('kwargs', 'NNS'), ('strategies', 'NNS'), ('dbapi', 'NN'), ('dialect', 'JJ'), ('cls', 'NN'), ('connectors', 'NNS'), ('dbapi', 'JJ'), ('return', 'NN'), ('ModuleNotFoundError', 'NNP'), ('No', 'NNP')], [('original', 'JJ'), ('Python', 'NNP'), ('cx', 'NN'), ('freeze', 'NN'), ('script', 'NN')], [('cx', 'NN'), ('Freeze', 'NNP'), ('import', 'NN'), ('setup', 'NN'), ('Executable', 'JJ'), ('os', 'NN'), ('print', 'JJ'), ('sys', 'JJ'), ('path', 'NN'), ('print', 'NN'), ('environ', 'NN'), (""HOME'"", 'NNP'), ('idw', 'NN'), ('ui', 'JJ'), ('build', 'JJ'), ('buildOptions', 'NNS'), ('excludes', 'NNS'), (""'PyQt"", 'NNS'), (""'matplotlib'"", 'NNS'), ('namespace', 'NN'), ('packages', 'NNS'), (""utils'"", 'JJ'), (""declaratives'"", 'NN'), ('sys', 'NN'), ('base', 'NN'), (""GUI'"", 'NNP'), ('platform', 'NN'), ('else', 'JJ'), ('None', 'NN'), ('fccc', 'JJ'), ('svn', 'NN'), ('py', 'JJ'), ('jobs', 'NNS'), (""py'"", 'JJ'), ('targetName', 'NN'), ('pltfrm', 'NN'), ('edtr', 'NN'), ('name', 'NN'), ('version', 'NN'), ('description', 'NN'), ('Platform', 'NNP'), (""Editor'"", 'NNP'), ('options', 'NNS'), ('exe', 'JJ'), ('executables', 'NNS')]]","[3, 5, 1, 4, 2]","['cx', 'Freeze', 'Python', 'error', 'main', 'script', 'Traceback', 'recent', 'call', 'last', 'File', 'C', 'apps', 'Anaconda', 'site', 'packages', 'initscripts', 'py', 'line', 'run', 'module', 'Console', 'py', 'code', 'name', 'fccc', 'svn', 'idw', 'jobs', 'ui', 'import', 'sqla', 'idw', 'bods', 'dc', 'declaratives', 'ctrl', 'utils', 'sqla', 'base', 'IdwBodsJobsBase', 'class', 'ClarityDboBase', 'engine', 'mssql', 'pyodbc', 'odbc', 'connect', 's', 'params', 'executemany', 'True', 'echo', 'uncomment', 'SQL', 'init', 'create', 'strategy', 'args', 'kwargs', 'strategies', 'dbapi', 'dialect', 'cls', 'connectors', 'dbapi', 'return', 'ModuleNotFoundError', 'No', 'cx', 'Freeze', 'import', 'setup', 'Executable', 'os', 'print', 'sys', 'path', 'print', 'environ', ""HOME'"", 'idw', 'ui', 'build', 'buildOptions', 'excludes', ""'PyQt"", ""'matplotlib'"", 'namespace', 'packages', ""utils'"", ""declaratives'"", 'sys', 'base', ""GUI'"", 'platform', 'else', 'None', 'fccc', 'svn', 'py', 'jobs', ""py'"", 'targetName', 'pltfrm', 'edtr', 'name', 'version', 'description', 'Platform', ""Editor'"", 'options', 'exe', 'executables', 'following', 'exception', 'solution', 'understand', 'Anyway', 'code', 'case', 'anyone', 'issue', 'please', 'share', 'thoughts', 'Thanks', 'Mike', 'original', 'Python', 'cx', 'freeze', 'script', 'exception']","['cx', 'Freeze', 'Python', 'error', 'main', 'script', 'Traceback', 'recent', 'call', 'last', 'File', 'C', 'apps', 'Anaconda', 'site', 'packages', 'initscripts', 'py', 'line', 'run', 'module', 'Console', 'py', 'code', 'name', 'fccc', 'svn', 'idw', 'jobs', 'ui', 'import', 'sqla', 'idw', 'bods', 'dc', 'declaratives', 'ctrl', 'utils', 'sqla', 'base', 'IdwBodsJobsBase', 'class', 'ClarityDboBase', 'engine', 'mssql', 'pyodbc', 'odbc', 'connect', 's', 'params', 'executemany', 'True', 'echo', 'uncomment', 'SQL', 'init', 'create', 'strategy', 'args', 'kwargs', 'strategies', 'dbapi', 'dialect', 'cls', 'connectors', 'dbapi', 'return', 'ModuleNotFoundError', 'No']"
"[['Given', 'an', 'initial', 'array', 'list', 'and', 'a', 'target', 'array', 'the', 'goal', 'is', 'to', 'find', 'the', 'smallest', 'list', 'of', 'movements', 'that', 'would', 'transform', 'the', 'initial', 'array', 'into', 'the', 'target', 'one', 'The', 'movements', 'that', 'can', 'be', 'used', 'are'], ['swap', 'i', 'j', 'which', 'changes', 'the', 'element', 'in', 'the', 'i', 'index', 'for', 'the', 'one', 'in', 'j', 'and', 'vice', 'versa'], ['move', 'i', 'which', 'copies', 'the', 'element', 'in', 'the', 'i', 'index', 'and', 'pastes', 'it', 'in', 'the', 'i', 'position', 'and', 'eliminates', 'the', 'j', 'element'], ['Example'], ['Initial', 'a', 'b', 'c', 'd'], ['Target', 'a', 'd', 'a', 'b'], ['Result', 'swap', 'swap', 'move', 'swap'], ['I', 'have', 'found', 'some', 'questions', 'similar', 'to', 'this', 'one', 'but', 'only', 'with', 'the', 'swap', 'movement', 'Thanks', 'in', 'advance']]","[[('initial', 'JJ'), ('array', 'NN'), ('list', 'NN'), ('target', 'NN'), ('goal', 'NN'), ('smallest', 'JJS'), ('movements', 'NNS')], [('swap', 'NN'), ('i', 'NN'), ('j', 'NN'), ('element', 'NN'), ('index', 'NN'), ('vice', 'NN'), ('versa', 'NN')], [('move', 'NN'), ('i', 'NN'), ('element', 'NN'), ('index', 'NN'), ('i', 'JJ'), ('position', 'NN'), ('j', 'NN')], [('Example', 'NN')], [('Initial', 'NNP'), ('b', 'NN'), ('c', 'NN'), ('d', 'NN')], [('d', 'NN'), ('b', 'NN')], [('Result', 'NNP'), ('swap', 'NN'), ('move', 'NN')], [('questions', 'NNS'), ('similar', 'JJ'), ('one', 'NN'), ('swap', 'NN'), ('movement', 'NN'), ('Thanks', 'NNP'), ('advance', 'NN')]]","[1, 2, 3, 8, 5]","['initial', 'array', 'list', 'target', 'goal', 'smallest', 'movements', 'swap', 'i', 'j', 'element', 'index', 'vice', 'versa', 'move', 'i', 'element', 'index', 'i', 'position', 'j', 'questions', 'similar', 'one', 'swap', 'movement', 'Thanks', 'advance', 'Initial', 'b', 'c', 'd']","['initial', 'array', 'list', 'target', 'goal', 'smallest', 'movements']"
"[[""I'm"", 'trying', 'to', 'implement', 'a', 'sidebar', 'with', 'static', 'width', 'and', 'flexbox', 'I', 'have', 'two', 'issues'], ['When', 'the', 'sidebar', 'is', 'closed', 'there', 'is', 'still', 'space', 'and', 'I', ""don't"", 'understand', 'where', 'it', 'comes', 'from'], ['The', 'side', ""isn't"", 'animated', ""It's"", 'been', 'pushed', 'without', 'animation'], [""Here's"", 'my', 'code'], [], ['You', 'can', 'try', 'to', 'animate', 'margin', 'instead'], [], ['See', 'if', 'this', 'works', 'Remove', 'the', 'current', 'styles', 'in', 'thsese', 'classes', 'and', 'try', 'this'], ['If', 'you', 'really', 'want', 'to', 'use', 'flex', 'itself', 'you', 'can', 'do', 'like', 'this'], ['and', 'also', 'please', 'give', 'margin', 'to', 'your', 'body', 'to', 'remove', 'margin']]","[[(""I'm"", 'NNP'), ('sidebar', 'NN'), ('static', 'JJ'), ('width', 'NN'), ('flexbox', 'NN'), ('issues', 'NNS')], [('sidebar', 'NN'), ('space', 'NN')], [('side', 'NN'), (""isn't"", 'NN'), (""It's"", 'NNP'), ('animation', 'NN')], [(""Here's"", 'NNP'), ('code', 'NN')], [], [('margin', 'NN')], [], [('current', 'JJ'), ('styles', 'NNS'), ('thsese', 'JJ'), ('classes', 'NNS')], [('flex', 'JJ')], [('margin', 'NN'), ('body', 'NN')]]","[1, 3, 8, 2, 4]","[""I'm"", 'sidebar', 'static', 'width', 'flexbox', 'issues', 'side', ""isn't"", ""It's"", 'animation', 'current', 'styles', 'thsese', 'classes', 'sidebar', 'space', ""Here's"", 'code']","[""I'm"", 'sidebar', 'static', 'width', 'flexbox', 'issues']"
"[['Currently', 'trying', 'to', 'build', 'a', 'nodejs', 'based', 'server', 'to', 'achieve', 'this', 'Any', 'help', 'is', 'appreciated']]","[[('nodejs', 'NN'), ('server', 'NN'), ('Any', 'NNP'), ('help', 'NN')]]",[1],"['nodejs', 'server', 'Any', 'help']","['nodejs', 'server', 'Any', 'help']"
"[['I', 'have', 'some', 'questions', 'about', 'arrow', 'function', 'expression', 'in', 'JSX', 'Here', 'is', 'an', 'example', 'code', 'that', 'updates', 'the', 'when', 'happens'], ['Then', 'I', 'tried', 'different', 'expressions', 'to', 'see', 'how', 'it', 'behaves'], ['However', 'when', 'the', 'function', 'takes', 'values', 'the', 'expression', 'behaves', 'differently', 'than', 'my', 'expectation'], ['So', 'my', 'questions', 'are'], ['What', 'is', 'the', 'logic', 'behind', 'not', 'firing', 'but', 'does'], ['Why', 'fires', 'one', 'time', 'when', 'fires', 'infinitely'], ['Are', 'and', 'functionally', 'identical'], [], ['Here', 'you', 'are', 'passing', 'to', 'onClick', 'not', 'a', 'function', 'but', 'a', 'result', 'from', 'a', 'function', 'you', 'are', 'calling', 'the', 'function', 'inside', 'brackets'], ['And', 'here', 'you', 'are', 'passing', 'a', 'reference', 'to', 'a', 'function'], [], [""Let's"", 'have', 'a', 'look', 'at', 'your', 'calls', 'one', 'by', 'one'], ['First'], ['This', 'is', 'equivalent', 'to', 'this', 'snippet', 'So', 'you', 'are', 'returning'], ['the', 'reference'], ['to', 'the', 'function', 'not', 'calling', 'it'], ['Second'], ['This', 'is', 'equivalent', 'to', 'this', 'snippet', 'So', 'you', 'are', 'returning', 'calling', 'the', 'function', 'on', 'click', 'event'], ['Third'], ['This', 'is', 'equivalent', 'to', 'this', 'snippet', 'So', 'you', 'are', 'returning', 'the', 'value', 'returned', 'from', 'the', 'call', 'of', 'the', 'inner', 'function']]","[[('questions', 'NNS'), ('arrow', 'JJ'), ('function', 'NN'), ('expression', 'NN'), ('JSX', 'NNP'), ('example', 'NN'), ('code', 'NN'), ('happens', 'NNS')], [('different', 'JJ'), ('expressions', 'NNS')], [('function', 'NN'), ('values', 'NNS'), ('expression', 'NN'), ('expectation', 'NN')], [('questions', 'NNS')], [('logic', 'NN')], [('time', 'NN'), ('fires', 'NNS')], [('Are', 'NNP'), ('identical', 'JJ')], [], [('function', 'NN'), ('result', 'NN'), ('brackets', 'NNS')], [('reference', 'NN'), ('function', 'NN')], [], [(""Let's"", 'NNP'), ('look', 'NN'), ('calls', 'NNS')], [], [('equivalent', 'JJ'), ('snippet', 'NN')], [('reference', 'NN')], [('function', 'NN')], [('Second', 'JJ')], [('equivalent', 'JJ'), ('snippet', 'NN'), ('function', 'NN'), ('click', 'JJ'), ('event', 'NN')], [('Third', 'JJ')], [('equivalent', 'JJ'), ('snippet', 'NN'), ('value', 'NN'), ('call', 'NN'), ('inner', 'JJ'), ('function', 'NN')]]","[1, 20, 18, 3, 9]","['questions', 'arrow', 'function', 'expression', 'JSX', 'example', 'code', 'happens', 'equivalent', 'snippet', 'value', 'call', 'inner', 'function', 'equivalent', 'snippet', 'function', 'click', 'event', 'function', 'values', 'expression', 'expectation', 'function', 'result', 'brackets']","['questions', 'arrow', 'function', 'expression', 'JSX', 'example', 'code', 'happens']"
